ReleasesNB,NBUnusedParameter,NBUnusedMethodDeclaration,NBToomuchScattering,NBToomuchclustring,NBUnusedMethodImplementation,NBAssumingSafeReturnValue,NBExcessiveObjects,NBexcessiveInterlangCommunication,NBNotHandlingExceptions,NBNotCachingObjects,NBNotSecuringLibraries,NBHardCodingLibraries,NBNotUsingRelativePath,NBMemoryManagementMismatch,NBLocalReferencesAbuse
1,25,1,0,1,0,0,0,1,0,0,3,0,2,0,0
2,33,1,0,1,0,0,0,1,0,0,3,0,2,0,0
3,41,1,0,1,0,2,0,1,2,0,3,0,2,1,1
4,38,1,0,0,0,1,0,0,1,0,0,0,0,1,1
5,43,1,0,1,0,1,0,1,1,0,3,0,2,1,1
6,48,1,0,1,0,1,0,1,1,0,3,0,2,1,1
7,43,1,0,1,0,1,0,1,1,0,3,0,2,1,1
8,54,1,0,1,0,1,0,1,1,0,3,0,2,1,1
9,55,1,0,1,0,1,0,1,1,0,3,0,2,1,1
10,58,1,0,1,0,1,0,1,1,0,3,0,2,1,1
