Project,ReleaseVersion,ReleaseDate,ReleaseDate2,TotalFiles,JavaCFiles,JNINativeFiles,,BuggyJavac,InducingJavac,SmellyJavac,,JNIBuggy,JNIInducing,JNISmelly,,JavacBuggySmelly,JavaInducingSmelly,,JNIBuggySmeely,JNIInducingSmelly,,TotalTIMEFIX,MINTIMEFIX,MEANTIMEFIX,MEDIANTIMEFIX,MODETIMEFIX,,TotalChangedINDUCING,TotalADDEDINDUCING,TotalREMOVEDINDUCING,,TotalChangedFIX,TotalADDEDFIX,TotalREMOVEDFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,,excessiveInterlangCommunicationIND,ToomuchclustringIND,Too_much_ScatteringIND,UnusedMethodDeclarationIND,UnusedMethodImplementationIND,UnusedParameterIND,AssumingSafeReturnValueIND,ExcessiveObjectsIND,NotHandlingExceptionsIND,NotCachingObjectsIND,NotSecuringLibrariesIND,HardCodingLibrariesIND,NotUsingRelativePathIND,MemoryManagementMismatchIND,LocalReferencesAbuseIND,,excessiveInterlangCommunicationFIX,Too_much_clustringFIX,Too_much_ScatteringFIX,UnusedMethodDeclarationFIX,UnusedMethodImplementationFIX,UnusedParameterFIX,AssumingSafeReturnValueFIX,ExcessiveObjectsFIX,NotHandlingExceptionsFIX,NotCachingObjectsFIX,NotSecuringLibrariesFIX,HardCodingLibrariesFIX,NotUsingRelativePathFIX,MemoryManagementMismatchFIX,LocalReferencesAbuseFIX
facebook/rocksdb,5.0.2,1/18/2017,2017-01-18T21:16:33Z,1522,1184,292,,0,14,99,,0,5,99,,0,3,,0,3,,0,0,0,0,0,,1893,637,151,0,0,0,,438,14,29,13,0,188,8,0,8,0,9,2,2,3,1,,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.11.2,3/12/2018,2018-03-08T19:16:46Z,1522,1184,322,,0,0,141,,0,0,141,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,629,26,37,27,0,248,0,0,0,0,9,2,2,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.14.3,8/26/2018,2018-08-22T00:13:10Z,1522,1184,277,,0,13,88,,0,2,88,,0,0,,0,0,,0,0,0,0,0,,18191,1344,809,0,0,0,,634,27,37,27,0,64,0,0,0,0,9,2,2,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.17.2,11/12/2018,2018-11-12T19:57:32Z,1522,1184,279,,0,55,90,,0,10,90,,0,2,,0,2,,0,0,0,0,0,,73702,8684,5723,0,0,0,,635,27,37,27,0,66,0,0,0,0,8,2,2,3,0,,2,1,0,4,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.18.3,2/28/2019,2019-02-11T22:01:16Z,1522,1184,282,,0,30,93,,0,1,93,,0,1,,0,1,,0,0,0,0,0,,117764,5733,2342,0,0,0,,639,28,39,27,0,64,0,0,0,0,9,2,2,3,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.4.6,5/30/2017,2017-05-30T21:31:07Z,1522,1184,300,,4,63,112,,3,20,112,,3,14,,3,14,,0,0,0,0,0,,50392,5867,3322,1150,369,417,,555,18,30,17,0,214,0,0,0,0,9,2,2,0,0,,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.6.2,8/12/2017,2017-08-12T21:35:35Z,1522,1184,301,,0,0,114,,0,0,114,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,555,20,31,16,0,214,0,0,0,0,8,2,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,5.9.2,12/18/2017,2017-12-07T19:07:44Z,1522,1184,312,,0,33,127,,0,13,127,,0,11,,0,11,,0,0,0,0,0,,16184,3206,1362,0,0,0,,581,21,33,16,0,225,2,0,2,0,9,2,2,0,0,,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,6.1.1,6/3/2019,2019-04-18T16:17:41Z,1522,1184,288,,0,32,104,,0,9,104,,0,2,,0,2,,0,0,0,0,0,,16255,1828,1030,0,0,0,,742,32,44,22,0,70,9,0,9,0,9,2,2,3,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook/rocksdb,master,8/14/2019,2019-06-04T20:31:32Z,1522,1184,289,,0,7,105,,0,0,105,,0,0,,0,0,,0,0,0,0,0,,3185,633,248,0,0,0,,742,32,44,0,0,70,9,0,9,0,9,2,2,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
