,Topic_Num,Topic_Perc_Contrib,Keywords,Text,,,,,
0,0,0.5609,"table, key, make, block, read, change, stored, db, database, persistence, key, data, visible, size,
file, timestamp, index, format, cache, reviewer, size, expose, implementation, copy, pass, work, signature, implement, property, future",,,,,,
1,1,0.6051,"method, native, pointer, object, instance, pass, move, parser, remove, , type, container, basic, declaration, write, invalid,
convert, string, coverage, generator, parameter, class, annotation, session, define, return, prevent, properly, change",,,,,,
2,2,0.6831,"buffer, messagesize, memory, leak, local, reference, memtable, allocation, garbage, log, test, write, check, user, unit_test, fail, add, reviewer, flush, review, introduce, failure, default, client, call, bug, current, avoid, sdong_reviewe",,,,,,
3,3,0.7637,"external, library, api, include, expose, public, integrate, allow, streaming, wrapper, summary, test_plan, column_family, add, differential_revision, option, change, column_familie, diff, make, review, version, memtable, family, create, call, file, support, reviewer, number",,,,,,
4,4,0.5268,"sslsocket, encrypt, socket, nativessl, token, hostname, protocol, platform, sslSession, activesession, support, work, enable, base, cipher_suite, exception, provide, default, handle, buffer, certificate, provider, sslengine, key, expect, ad, previously, public, boringssl, constant",,,,,,
5,5,0.6885,"time, wrap, performance, execution-time, regression, cache, shared, resources, bundle, increase, type, case, make, error, create, load, string, work, require, order, change, time, annotation, generate, report, improve, fail, set, include, default",,,,,,
6,6,0.6859,"occur, handle, check, exception, throw, return, fix, pointer, illegal, runtime, test_plan, summary, review, test, key, file, differential_revision, reviewer, delete, make, add, unit_test, iterator, run, flush, case, put, entry, set, rocksdb",,,,,,
7,7,0.664,"issue, fix, support, resolve, failure, check, warnings, support, JNI_ABORT, error, illegal, build, version, add, array, bit, system, library, empty, list, variable, problem, include, error, compile, platform, part, replace",,,,,,
8,8,0.649,"test, field, check, change, object, throw, pull, execution, reflect, client, transaction, monitor, notify, mutex, log, thread, add, realm, close, type, class, null, default_value, constructor, realm_instance, core, model",,,,,,
9,9,0.5362,"summary, test_plan, upgrade, support, migrate, integrate, create, legacy, simplify, add, format, update, review, file, reviewer, revision, option, make, compaction, leveldb_differential, unit_test, user, merge, differential_revision, sdong_subscriber, write, sdong_reviewe, set, iterator, level",,,,,,
10,10,0.3953,"test, add, call, update, check, update, remove, code, reorder, native, move, public, improve, change, change, commit, fix, avoid, find, crash, query, realm, snapshot, case, release, transaction, create, close",,,,,,
11,11,0.6342,"file, summary, level, compaction, decode, memory, blocks, encode, compaction, streaming, frames, block, dictionary, test_plan, run, option, differential_revision, review, number, reviewers_dhruba, set, write, read, database, datum, compression, log, patch, heyongqiang_reviewe",,,,,,
